filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
1.sol,0.4.26,N/A,0.94,-1,-1,-1,-1
1014.sol,0.4.26,FN,0.51,-1,-1,0,-1
10146.sol,0.4.26,TP,0.42,-1,-1,1,-1
1015.sol,0.4.26,TN,1.46,-1,-1,0,-1
10233.sol,0.4.26,FP,1.09,-1,-1,1,-1
10295.sol,0.4.26,FN,0.58,-1,-1,0,-1
10342.sol,0.4.26,FP,0.61,-1,-1,1,-1
10369.sol,0.4.26,TP,0.6,-1,-1,1,-1
10547.sol,0.4.26,FP,0.69,-1,-1,1,-1
1057.sol,0.4.26,TP,0.41,-1,-1,1,-1
10736.sol,0.4.26,TP,0.47,-1,-1,1,-1
10855.sol,0.4.26,FP,0.45,-1,-1,1,-1
10971.sol,0.4.26,N/A,0.84,-1,-1,-1,-1
11064.sol,0.4.26,TP,0.4,-1,-1,1,-1
1115.sol,0.4.26,FN,0.56,-1,-1,0,-1
11159.sol,0.4.26,TN,0.52,-1,-1,0,-1
11243.sol,0.4.26,FN,0.47,-1,-1,0,-1
11323.sol,0.4.26,FP,0.55,-1,-1,1,-1
11330.sol,0.4.26,FP,0.64,-1,-1,1,-1
11346.sol,0.4.26,TN,0.48,-1,-1,0,-1
11457.sol,0.4.26,TP,0.47,-1,-1,1,-1
11798.sol,0.4.26,TN,0.51,-1,-1,0,-1
1181.sol,0.4.26,FP,0.44,-1,-1,1,-1
1182.sol,0.4.26,TP,0.43,-1,-1,1,-1
1183.sol,0.4.26,FN,0.5,-1,-1,0,-1
11931.sol,0.4.26,FN,0.54,-1,-1,0,-1
11964.sol,0.4.26,FP,0.62,-1,-1,1,-1
12044.sol,0.4.26,FP,0.5,-1,-1,1,-1
12115.sol,0.4.26,FP,0.51,-1,-1,1,-1
1226.sol,0.4.26,TP,0.41,-1,-1,1,-1
12292.sol,0.4.26,TP,0.44,-1,-1,1,-1
12321.sol,0.4.26,FN,0.56,-1,-1,0,-1
12393.sol,0.4.26,FN,0.46,-1,-1,0,-1
124.sol,0.4.26,FP,0.44,-1,-1,1,-1
1246.sol,0.4.26,FP,0.58,-1,-1,1,-1
12460.sol,0.4.26,FP,0.56,-1,-1,1,-1
12465.sol,0.4.26,TP,0.42,-1,-1,1,-1
12466.sol,0.4.26,TP,0.47,-1,-1,1,-1
1256.sol,0.4.26,TN,0.57,-1,-1,0,-1
12688.sol,0.4.26,FP,0.61,-1,-1,1,-1
12689.sol,0.4.26,FP,0.49,-1,-1,1,-1
12715.sol,0.4.26,FP,0.52,-1,-1,1,-1
1284.sol,0.4.26,FN,0.43,-1,-1,0,-1
12841.sol,0.4.26,TP,0.49,-1,-1,1,-1
12856.sol,0.4.26,FP,0.62,-1,-1,1,-1
1288.sol,0.4.26,TP,0.5,-1,-1,1,-1
12894.sol,0.4.26,FN,0.45,-1,-1,0,-1
12898.sol,0.4.26,TP,0.59,-1,-1,1,-1
12919.sol,0.4.26,FN,0.55,-1,-1,0,-1
12998.sol,0.4.26,FN,0.47,-1,-1,0,-1
13069.sol,0.4.26,FP,0.54,-1,-1,1,-1
1313.sol,0.4.26,FP,0.59,-1,-1,1,-1
1318.sol,0.4.26,FN,0.43,-1,-1,0,-1
1319.sol,0.4.26,FN,0.59,-1,-1,0,-1
13283.sol,0.4.26,FP,0.72,-1,-1,1,-1
13293.sol,0.4.26,TP,0.52,-1,-1,1,-1
13371.sol,0.4.26,FN,0.51,-1,-1,0,-1
134.sol,0.4.26,TN,0.75,-1,-1,0,-1
13413.sol,0.4.26,FN,0.41,-1,-1,0,-1
135.sol,0.4.26,TN,0.68,-1,-1,0,-1
136.sol,0.4.26,FP,0.54,-1,-1,1,-1
13657.sol,0.4.26,TN,0.6,-1,-1,0,-1
137.sol,0.4.26,FP,0.6,-1,-1,1,-1
13723.sol,0.4.26,TP,0.55,-1,-1,1,-1
13780.sol,0.4.26,FN,0.56,-1,-1,0,-1
13993.sol,0.4.26,TP,0.58,-1,-1,1,-1
1404.sol,0.4.26,TP,0.52,-1,-1,1,-1
14284.sol,0.4.26,N/A,0.49,-1,-1,-1,-1
1430.sol,0.4.26,N/A,0.69,-1,-1,-1,-1
14351.sol,0.4.26,FP,0.57,-1,-1,1,-1
14353.sol,0.4.26,N/A,0.8,-1,-1,-1,-1
14381.sol,0.4.26,TN,0.52,-1,-1,0,-1
14439.sol,0.4.26,FP,0.59,-1,-1,1,-1
1445.sol,0.4.26,TP,0.5,-1,-1,1,-1
14620.sol,0.4.26,N/A,0.64,-1,-1,-1,-1
14634.sol,0.4.26,FP,0.45,-1,-1,1,-1
14711.sol,0.4.26,FN,0.53,-1,-1,0,-1
14872.sol,0.4.26,TP,0.45,-1,-1,1,-1
14928.sol,0.4.26,TP,0.5,-1,-1,1,-1
14994.sol,0.4.26,N/A,0.51,-1,-1,-1,-1
14997.sol,0.4.26,TN,0.56,-1,-1,0,-1
15.sol,0.4.26,FP,0.5,-1,-1,1,-1
15038.sol,0.4.26,TP,0.58,-1,-1,1,-1
1532.sol,0.4.26,FN,0.46,-1,-1,0,-1
1533.sol,0.4.26,FN,0.44,-1,-1,0,-1
15566.sol,0.4.26,FP,0.59,-1,-1,1,-1
15641.sol,0.4.26,TP,0.46,-1,-1,1,-1
15671.sol,0.4.26,FP,0.61,-1,-1,1,-1
15822.sol,0.4.26,TN,0.45,-1,-1,0,-1
15930.sol,0.4.26,TP,0.55,-1,-1,1,-1
16018.sol,0.4.26,FP,0.48,-1,-1,1,-1
1631.sol,0.4.26,FP,0.43,-1,-1,1,-1
16407.sol,0.4.26,TP,0.65,-1,-1,1,-1
16521.sol,0.4.26,FP,0.56,-1,-1,1,-1
16643.sol,0.4.26,N/A,0.87,-1,-1,-1,-1
1667.sol,0.4.26,FP,0.5,-1,-1,1,-1
1668.sol,0.4.26,FP,0.46,-1,-1,1,-1
169.sol,0.4.26,TP,0.5,-1,-1,1,-1
16925.sol,0.4.26,N/A,0.96,-1,-1,-1,-1
16957.sol,0.4.26,FP,0.49,-1,-1,1,-1
16979.sol,0.4.26,TP,0.46,-1,-1,1,-1
170.sol,0.4.26,TP,0.43,-1,-1,1,-1
17043.sol,0.4.26,N/A,0.99,-1,-1,-1,-1
17401.sol,0.4.26,FN,0.62,-1,-1,0,-1
176.sol,0.4.26,FP,0.5,-1,-1,1,-1
177.sol,0.4.26,FP,0.4,-1,-1,1,-1
17806.sol,0.4.26,TN,0.41,-1,-1,0,-1
17816.sol,0.4.26,TN,0.44,-1,-1,0,-1
17829.sol,0.4.26,N/A,0.92,-1,-1,-1,-1
1813.sol,0.4.26,FN,0.4,-1,-1,0,-1
1824.sol,0.4.26,FP,0.61,-1,-1,1,-1
1825.sol,0.4.26,FP,0.41,-1,-1,1,-1
18430.sol,0.4.26,FP,1.6,1,-1,-1,-1
18438.sol,0.4.26,TN,1.46,0,-1,-1,-1
18509.sol,0.4.26,N/A,0.45,1,-1,-1,-1
1851.sol,0.4.26,FP,0.51,-1,-1,1,-1
18510.sol,0.4.26,TP,0.8,1,-1,-1,-1
18771.sol,0.4.26,TN,1.44,0,-1,-1,-1
18975.sol,0.4.26,FN,0.49,-1,-1,0,-1
19128.sol,0.4.26,N/A,0.91,0,-1,-1,-1
19129.sol,0.4.26,TN,1.6,0,-1,-1,-1
19182.sol,0.4.26,FN,0.51,-1,-1,0,-1
19294.sol,0.4.26,TN,0.45,-1,-1,0,-1
1954.sol,0.4.26,TP,0.57,-1,-1,1,-1
19692.sol,0.4.26,TN,0.54,-1,-1,0,-1
19714.sol,0.4.26,TP,0.45,-1,-1,1,-1
19925.sol,0.4.26,N/A,0.43,0,-1,-1,-1
2.sol,0.4.26,N/A,0.52,-1,-1,-1,-1
2000.sol,0.4.26,N/A,0.9,-1,-1,-1,-1
20057.sol,0.4.26,TP,0.45,-1,-1,1,-1
20259.sol,0.4.26,TP,0.54,-1,-1,1,-1
2051.sol,0.4.26,FN,0.63,-1,-1,0,-1
20888.sol,0.4.26,TN,0.57,-1,-1,0,-1
20930.sol,0.4.26,FP,0.47,-1,-1,1,-1
211.sol,0.4.26,TP,0.5,-1,-1,1,-1
21162.sol,0.4.26,FP,0.48,-1,-1,1,-1
212.sol,0.4.26,TP,0.55,-1,-1,1,-1
21241.sol,0.4.26,N/A,0.52,0,-1,-1,-1
21393.sol,0.4.26,TP,0.6,-1,-1,1,-1
21404.sol,0.4.26,TP,0.58,-1,-1,1,-1
21697.sol,0.4.26,N/A,0.73,0,-1,-1,-1
21886.sol,0.4.26,TN,0.73,0,-1,-1,-1
21890.sol,0.4.26,FN,0.46,-1,-1,0,-1
22074.sol,0.4.26,N/A,0.53,0,-1,-1,-1
22075.sol,0.4.26,TN,0.75,0,-1,-1,-1
22155.sol,0.4.26,FP,0.56,-1,-1,1,-1
22247.sol,0.4.26,N/A,0.73,1,-1,-1,-1
22256.sol,0.4.26,FP,0.52,-1,-1,1,-1
22272.sol,0.4.26,FP,0.49,-1,-1,1,-1
22416.sol,0.4.26,N/A,0.64,1,-1,-1,-1
2252.sol,0.4.26,FN,0.48,-1,-1,0,-1
2253.sol,0.4.26,FN,0.51,-1,-1,0,-1
22635.sol,0.4.26,N/A,0.66,0,-1,-1,-1
22636.sol,0.4.26,TN,1.11,0,-1,-1,-1
22734.sol,0.4.26,TN,0.33,-1,-1,0,-1
2307.sol,0.4.26,N/A,0.72,-1,-1,-1,-1
2379.sol,0.4.26,TP,0.5,-1,-1,1,-1
23792.sol,0.4.26,N/A,0.52,0,-1,-1,-1
23793.sol,0.4.26,TN,0.77,0,-1,-1,-1
2397.sol,0.4.26,TN,0.52,-1,-1,0,-1
2399.sol,0.4.26,TP,0.45,-1,-1,1,-1
24161.sol,0.4.26,N/A,0.78,1,-1,-1,-1
24196.sol,0.4.26,TN,0.86,0,-1,-1,-1
24369.sol,0.4.26,TN,0.82,0,-1,-1,-1
24648.sol,0.4.26,N/A,0.62,0,-1,-1,-1
24649.sol,0.4.26,TN,0.77,0,-1,-1,-1
2563.sol,0.4.26,FN,0.42,-1,-1,0,-1
25808.sol,0.4.26,TN,0.93,0,-1,-1,-1
26188.sol,0.4.26,N/A,0.74,0,-1,-1,-1
26742.sol,0.4.26,N/A,1.17,1,-1,-1,-1
26743.sol,0.4.26,TP,0.7,1,-1,-1,-1
2688.sol,0.4.26,TP,0.52,-1,-1,1,-1
27121.sol,0.4.26,TN,1.48,0,-1,-1,-1
27159.sol,0.4.26,TN,1.07,0,-1,-1,-1
27164.sol,0.4.26,TN,0.74,0,-1,-1,-1
27263.sol,0.4.26,N/A,1.03,0,-1,-1,-1
27327.sol,0.4.26,TN,0.82,0,-1,-1,-1
27334.sol,0.4.26,TN,0.94,0,-1,-1,-1
27455.sol,0.4.26,FN,0.45,-1,-1,0,-1
27603.sol,0.4.26,TN,0.65,0,-1,-1,-1
2777.sol,0.4.26,TP,0.43,-1,-1,1,-1
28101.sol,0.4.26,TN,0.63,-1,-1,0,-1
28359.sol,0.4.26,TP,0.56,-1,-1,1,-1
28383.sol,0.4.26,FN,0.45,-1,-1,0,-1
28974.sol,0.4.26,TN,0.7,0,-1,-1,-1
29084.sol,0.4.26,FP,0.63,-1,-1,1,-1
29089.sol,0.4.26,N/A,0.59,1,-1,-1,-1
29090.sol,0.4.26,FP,0.71,1,-1,-1,-1
29130.sol,0.4.26,N/A,0.83,0,-1,-1,-1
29131.sol,0.4.26,TP,0.56,-1,-1,1,-1
29154.sol,0.4.26,TN,0.77,0,-1,-1,-1
29409.sol,0.4.26,FP,0.68,-1,-1,1,-1
29590.sol,0.4.26,TN,0.96,0,-1,-1,-1
29948.sol,0.4.26,TN,0.85,0,-1,-1,-1
29983.sol,0.4.26,TN,1.12,0,-1,-1,-1
3.sol,0.4.26,N/A,0.59,0,-1,-1,-1
30046.sol,0.4.26,TN,1.13,0,-1,-1,-1
30060.sol,0.4.26,TP,0.43,-1,-1,1,-1
30101.sol,0.4.26,N/A,1.03,0,-1,-1,-1
30102.sol,0.4.26,TN,0.97,0,-1,-1,-1
30254.sol,0.4.26,TN,0.81,0,-1,-1,-1
30255.sol,0.4.26,TN,0.94,0,-1,-1,-1
30337.sol,0.4.26,N/A,1.14,0,-1,-1,-1
30338.sol,0.4.26,TN,1.06,0,-1,-1,-1
30343.sol,0.4.26,FP,0.74,-1,-1,1,-1
30396.sol,0.4.26,TP,0.46,-1,-1,1,-1
30460.sol,0.4.26,TN,1.11,0,-1,-1,-1
30507.sol,0.4.26,TN,0.75,-1,-1,0,-1
30772.sol,0.4.26,FN,0.39,-1,-1,0,-1
30813.sol,0.4.26,FP,0.68,-1,-1,1,-1
30815.sol,0.4.26,FP,0.63,-1,-1,1,-1
30925.sol,0.4.26,TN,0.47,-1,-1,0,-1
30939.sol,0.4.26,TN,0.41,-1,-1,0,-1
30963.sol,0.4.26,TN,0.37,-1,-1,0,-1
30976.sol,0.4.26,TN,0.48,-1,-1,0,-1
31237.sol,0.4.26,TN,0.84,0,-1,-1,-1
31238.sol,0.4.26,TN,0.8,0,-1,-1,-1
31497.sol,0.4.26,N/A,0.8,0,-1,-1,-1
31551.sol,0.4.26,FP,0.43,-1,-1,1,-1
31565.sol,0.4.26,TN,0.7,0,-1,-1,-1
31758.sol,0.4.26,TP,0.54,-1,-1,1,-1
31759.sol,0.4.26,N/A,0.83,0,-1,-1,-1
318.sol,0.4.26,TP,0.61,-1,-1,1,-1
31812.sol,0.4.26,FN,0.52,-1,-1,0,-1
3185.sol,0.4.26,FP,0.45,-1,-1,1,-1
31867.sol,0.4.26,FP,0.44,-1,-1,1,-1
31892.sol,0.4.26,FP,0.6,-1,-1,1,-1
31999.sol,0.4.26,TP,0.52,-1,-1,1,-1
32007.sol,0.4.26,FN,0.54,-1,-1,0,-1
3211.sol,0.4.26,N/A,0.74,-1,-1,-1,-1
32175.sol,0.4.26,TP,0.59,-1,-1,1,-1
32522.sol,0.4.26,N/A,0.74,0,-1,-1,-1
3270.sol,0.4.26,N/A,0.83,-1,-1,-1,-1
33217.sol,0.4.26,TN,0.45,-1,-1,0,-1
33450.sol,0.4.26,TN,1.14,0,-1,-1,-1
33512.sol,0.4.26,TN,0.82,0,-1,-1,-1
33575.sol,0.4.26,FP,0.48,-1,-1,1,-1
33638.sol,0.4.26,TN,0.61,-1,-1,0,-1
33711.sol,0.4.26,TN,0.53,-1,-1,0,-1
339.sol,0.4.26,TP,0.52,-1,-1,1,-1
33974.sol,0.4.26,TN,0.49,-1,-1,0,-1
34068.sol,0.4.26,FP,0.49,-1,-1,1,-1
34272.sol,0.4.26,FP,0.51,-1,-1,1,-1
3434.sol,0.4.26,TP,0.54,-1,-1,1,-1
34432.sol,0.4.26,TN,0.72,0,-1,-1,-1
34442.sol,0.4.26,FP,0.52,-1,-1,1,-1
